Book Name
btc-ars
btc-dai
dai-ars
btc-brl
eth-ars
eth-brl
btc-usdt
usd-ars
usd-brl
btc-cop
eth-cop
xrp-cop
usd-cop
matic-brl
ada-brl
sol-brl
xrp-brl
doge-brl
chz-brl
usdt-brl
shib-brl
usdt-cop
eur-brl
dot-brl
ltc-brl
link-brl
uni-brl
mana-brl
bch-brl
usdt-ars
usd-usdt
btc-ars
btc-dai
dai-ars
btc-brl
eth-ars
eth-brl
btc-usdt
usd-ars
usd-brl
btc-cop
eth-cop
xrp-cop
usd-cop
matic-brl
ada-brl
sol-brl
xrp-brl
doge-brl
chz-brl
usdt-brl
shib-brl
usdt-cop
eur-brl
dot-brl
ltc-brl
link-brl
uni-brl
mana-brl
bch-brl
usdt-ars
usd-usdt
